Story ID,Rate Card Type,User Story,UI Behavior,Backend/System Behavior,Acceptance Criteria,Notes
DP-001,MRC,"As a user, I want to start an MRC update from an existing rate card so that I can preserve the current pricing structure while applying new changes.",The user can select an existing MRC and choose Clone or Create New Version.,The system creates a working copy of the selected rate card and preserves the original version.,The original MRC remains unchanged and the new version has its own identifier or version number.,
DP-002,MRC,"As a user, I want to review MRC pricing by product, weight, zone, tier, and geography so that I can understand the recommended changes.","The UI provides table and pivot-style views, with navigation for applicable tiers and geographies.",The application retrieves the appropriate rate-card rows and supporting pricing information from the prepared data store.,"The user can view the affected pricing rows and identify the applicable product, weight, zone, tier, and geography.",
DP-003,MRC,"As a user, I want to use plain language to request targeted MRC changes so that I can update groups of cells without editing them individually.","The user can enter an instruction to change rates for selected zones, products, weights, or geographies. The user can request either a flat amount change or a percentage change.",The AI agent interprets the request and creates a proposed set of changes for the selected MRC.,"The proposed changes are limited to the requested scope and are shown before they are applied. For example, the user can request, 'Increase Zones 5 through 8 by $0.25 for packages between 1 and 3 pounds,' or 'Increase all Zone 6 rates by 5 percent.'",
DP-004,MRC,"As a user, I want the system to ask clarifying questions when my MRC request is unclear so that the wrong rates are not changed.","The UI displays questions when the request does not identify a complete scope, such as the product, zone, weight range, or geography.",The system does not apply changes until the request has enough information to identify the affected rows.,The user can provide clarification and receive an updated change preview.,
DP-005,MRC,"As a user, I want MRC changes to respect pricing limits so that a recommended or manually requested price does not violate established rules.",The UI explains when a requested change exceeds an applicable limit and prevents or requires clarification before continuing.,"The system checks the proposed price against applicable published-rate and price-floor rules. For MRC pricing, the published rate is the ceiling for the applicable product, weight, zone, or other rate-card cell. MRC prices should not exceed the applicable published rate and should not fall below an applicable price floor.","The system does not apply an MRC change that violates an applicable price floor or ceiling. If a requested change would exceed the published rate or fall below the price floor, the user receives an explanation and must revise or clarify the request.",
DP-006,MRC,"As a user, I want to review and approve only the impacted MRC rows as a group so that I can confirm the changes without reviewing every unchanged cell.","The UI displays only the impacted rows. The UI provides clear actions to Approve, Reject, or Revise the proposed changes.",The system stores the impacted rows as a reviewable change set and does not require unchanged rows to be reviewed individually.,"The user can review only the impacted rows. The UI provides Approve, Reject, and Revise actions. Approve requires the user to enter a valid future effective date and confirm that the approved rates will be sent to Panorama. Reject discards the proposed changes. Revise returns the user to the editing process. No changes are sent to Panorama until approval is completed.",
DP-007,MRC,"As a user, I want approved MRC changes to be sent to Panorama so that the new merchant prices can be used by the appropriate pricing systems.",The UI changes the MRC status to Approved or Ready to Send after approval and indicates that the rates are being sent to Panorama.,The system creates an approved MRC output and places it in the outbound processing area for transmission to Panorama.,"Only approved MRC versions are sent to Panorama. The transmission includes the approved rate-card version, effective date, customer, contract, and impacted pricing rows. The system records whether Panorama accepted or rejected the update.",
DP-008,PRC,"As a user, I want the system to create the applicable platform rate cards from an approved MRC so that I do not have to manually create separate rate cards for every platform.",The UI indicates that approval of the MRC completes the user-facing portion of the process. The UI does not display PRC creation or commission recalculation status after approval.,"The system uses the approved MRC and the applicable commission information from Panorama to create or update PRCs. PRCs that are exempt, excluded, or otherwise designated as disregarded are not created or updated.",The resulting PRCs are linked to the source MRC. Applicable PRCs are created for the appropriate platforms and products. PRCs designated as disregarded are excluded from processing and identified in the backend record.,
DP-009,PRC,"As a user, I want the system to use commission information stored in Panorama so that each platform rate card reflects the correct platform agreement.",The UI does not display the commission information retrieval or recalculation activity after the MRC is approved.,The system retrieves the applicable commission information from Panorama and uses it to recalculate the platform pricing.,"The calculation uses the correct customer, platform, contract, commission information, and MRC version. The calculation is performed entirely in the backend.",New PRC Rate Cell Price = New MRC Rate Cell Price ? (New MRC Rate Cell Price × Commission Percentage)
DP-010,PRC,"As a user, I want platform commissions to be recalculated automatically after an approved MRC update so that platform pricing stays aligned with the updated merchant prices.",The UI does not display the commission recalculation status or require the user to review the generated PRCs after the MRC is approved.,"The system identifies affected platforms, retrieves commission information from Panorama, recalculates applicable PRC values, and identifies PRCs that must be disregarded based on configured rules.","Every applicable PRC receives a recalculated result or a clearly identified backend exception. PRCs that are designated to be disregarded are recorded and excluded from the recalculation or publication process. The calculation uses the correct customer, platform, contract, commission information, and MRC version.",
DP-011,PRC,"As a user, I want the system to create the required platform rate-card versions after recalculating commissions so that Panorama receives complete and accurate platform pricing data.",The UI does not display the generated PRC versions or their processing status after the MRC is approved.,The system creates the applicable platform rate-card outputs using the recalculated platform values and prepares them for transmission to Panorama.,"Each applicable PRC identifies the source MRC, platform, customer or contract, effective date, and calculation version. Disregarded PRCs are excluded. The approved PRC outputs are sent to Panorama.",
